storage,ram,warranty,days_since_posted,brand_enc,model_enc,district_enc,cond_New,cond_Used,price,brand,model,district,condition
64.0,6.0,0,14,69119.74921630374,95982.16308907153,71138.72690290223,False,True,78100.0,Huawei,Huawei P30 Pro,Hambantota,Used
256.0,8.0,0,14,27953.91566265252,28737.602866155034,101644.83202809989,True,False,37500.0,Realme,Realme 9,Nuwara Eliya,New
128.0,6.0,0,60,97917.97445255474,63063.303347058965,95823.04900181488,False,True,50600.0,Samsung,Galaxy A32,Colombo,Used
128.0,4.0,0,180,30231.324744260754,34748.85656212868,103293.80948314318,False,True,21100.0,Motorola,Moto G30,Jaffna,Used
256.0,12.0,0,14,40497.74011299453,42694.96437108665,103711.00702576112,False,True,49200.0,Oppo,Oppo A74,Kandy,Used
64.0,6.0,1,4,34074.161073877825,65264.916412581406,85661.14130434782,False,True,48800.0,Vivo,Vivo V21,Gampaha,Used
64.0,6.0,0,90,39362.87425149832,57853.598596687494,87796.20740059376,True,False,53100.0,Xiaomi,Redmi Note 12,Batticaloa,New
512.0,8.0,0,5,15386.073825503356,15486.906190689504,103711.00702576112,True,False,24100.0,Other,Redmi 9A,Kandy,New
64.0,4.0,1,7,97917.97445255474,36716.2922561019,111228.6323253798,False,True,25700.0,Samsung,Galaxy A12,Trincomalee,Used
256.0,6.0,1,21,69119.74921630374,89998.6629501347,110952.47148247254,False,True,102500.0,Huawei,Huawei Mate 30,Kurunegala,Used
32.0,3.0,0,21,69119.74921630374,76593.7240697723,95823.04900181488,True,False,56600.0,Huawei,Huawei P30,Colombo,New
128.0,8.0,0,1,257365.38849646822,280262.88759545796,95823.04900181488,False,True,239200.0,Apple,iPhone 13,Colombo,Used
128.0,8.0,1,14,34074.161073877825,40875.88097580751,85661.14130434782,False,True,37200.0,Vivo,Vivo Y75,Gampaha,Used
32.0,3.0,0,21,97917.97445255474,63063.303347058965,101348.45814434181,False,True,31400.0,Samsung,Galaxy A32,Galle,Used
256.0,12.0,0,60,257365.38849646822,346991.35595038394,107774.78187801622,False,True,342200.0,Apple,iPhone 14,Puttalam,Used
128.0,6.0,0,6,34074.161073877825,27091.48565029078,71138.72690290223,True,False,25600.0,Vivo,Vivo Y20,Hambantota,New
256.0,6.0,1,60,94936.78554610761,101856.07595881139,95823.04900181488,False,True,104800.0,Sony,Sony Xperia 5 III,Colombo,Used
128.0,6.0,0,60,112310.1101226048,110106.22788148513,111228.6323253798,False,True,91800.0,Oneplus,OnePlus 9,Trincomalee,Used
128.0,8.0,0,60,97917.97445255474,48782.851526856786,79284.01182438398,False,True,42500.0,Samsung,Galaxy M32,Matale,Used
64.0,4.0,1,90,97917.97445255474,54188.93971904517,87796.20740059376,False,True,37600.0,Samsung,Galaxy A23,Batticaloa,Used
256.0,8.0,0,365,94936.78554610761,55188.87370444853,71138.72690290223,False,True,42600.0,Sony,Sony Xperia 10,Hambantota,Used
512.0,12.0,0,7,97917.97445255474,81014.33059306446,103293.80948314318,True,False,149400.0,Samsung,Galaxy A52,Jaffna,New
128.0,8.0,1,5,112310.1101226048,97091.16376285558,77233.95897938183,False,True,89500.0,Oneplus,OnePlus 9R,Monaragala,Used
128.0,6.0,0,90,97917.97445255474,87801.75465945594,95823.04900181488,False,True,71700.0,Samsung,Galaxy A53,Colombo,Used
128.0,8.0,1,365,97917.97445255474,54188.93971904517,95823.04900181488,False,True,43900.0,Samsung,Galaxy A23,Colombo,Used
128.0,6.0,0,2,97917.97445255474,63063.303347058965,111717.76085735158,True,False,65300.0,Samsung,Galaxy A32,Unknown,New
128.0,8.0,1,60,94936.78554610761,55188.87370444853,101348.45814434181,False,True,46400.0,Sony,Sony Xperia 10,Galle,Used
512.0,12.0,0,180,97917.97445255474,63063.303347058965,95823.04900181488,False,True,73100.0,Samsung,Galaxy A32,Colombo,Used
128.0,4.0,0,14,15386.073825503356,18775.993614846906,91916.9849169941,False,True,13900.0,Other,Redmi 9C,Anuradhapura,Used
128.0,4.0,0,60,40497.74011299453,63841.08313659533,110952.47148247254,False,True,52200.0,Oppo,Oppo Reno 5,Kurunegala,Used
128.0,6.0,1,60,39362.87425149832,31900.139324537093,103293.80948314318,True,False,26900.0,Xiaomi,Redmi 12C,Jaffna,New
256.0,12.0,0,0,40497.74011299453,37119.528191581325,95823.04900181488,True,False,45800.0,Oppo,Oppo A54,Colombo,New
128.0,8.0,1,60,97917.97445255474,253083.3507477765,110952.47148247254,False,True,233100.0,Samsung,Galaxy S23,Kurunegala,Used
64.0,6.0,0,4,257365.38849646822,381601.4887660484,103711.00702576112,True,False,314300.0,Apple,iPhone 15,Kandy,New
32.0,2.0,0,60,15386.073825503356,13820.04196151102,87796.20740059376,True,False,10500.0,Other,Tecno Spark 8,Batticaloa,New
128.0,4.0,1,180,15386.073825503356,13820.04196151102,101348.45814434181,False,True,13800.0,Other,Tecno Spark 8,Galle,Used
128.0,8.0,0,21,69119.74921630374,72333.67827121622,111228.6323253798,True,False,73900.0,Huawei,Huawei Nova 5T,Trincomalee,New
64.0,6.0,0,60,27953.91566265252,28737.602866155034,85661.14130434782,False,True,20200.0,Realme,Realme 9,Gampaha,Used
128.0,6.0,0,14,27953.91566265252,25864.696434646437,107774.78187801622,False,True,21600.0,Realme,Realme 8,Puttalam,Used
128.0,4.0,1,365,257365.38849646822,140339.59996967835,77233.95897938183,False,True,81700.0,Apple,iPhone XR,Monaragala,Used
256.0,12.0,0,21,97917.97445255474,48782.851526856786,85661.14130434782,True,False,75600.0,Samsung,Galaxy M32,Gampaha,New
64.0,6.0,0,14,69119.74921630374,89998.6629501347,95823.04900181488,False,True,70300.0,Huawei,Huawei Mate 30,Colombo,Used
64.0,6.0,0,7,40497.74011299453,37119.528191581325,85661.14130434782,True,False,26300.0,Oppo,Oppo A54,Gampaha,New
256.0,12.0,0,21,30231.324744260754,41828.615814658624,95823.04900181488,False,True,41500.0,Motorola,Moto G62,Colombo,Used
64.0,3.0,0,6,15386.073825503356,8333.520815155518,95823.04900181488,True,False,9100.0,Other,Itel A49,Colombo,New
256.0,8.0,0,3,97917.97445255474,253083.3507477765,111228.6323253798,False,True,263500.0,Samsung,Galaxy S23,Trincomalee,Used
256.0,12.0,0,180,40497.74011299453,35090.253383405914,110952.47148247254,False,True,35400.0,Oppo,Oppo A57,Kurunegala,Used
64.0,6.0,0,7,97917.97445255474,48782.851526856786,83246.0201484606,True,False,39800.0,Samsung,Galaxy M32,Matara,New
256.0,8.0,0,1,27953.91566265252,25864.696434646437,91916.9849169941,False,True,28000.0,Realme,Realme 8,Anuradhapura,Used
64.0,8.0,1,14,39362.87425149832,31900.139324537093,83246.0201484606,False,True,21300.0,Xiaomi,Redmi 12C,Matara,Used
64.0,8.0,0,60,27953.91566265252,52346.56883936626,103711.00702576112,False,True,39400.0,Realme,Realme GT Neo 2,Kandy,Used
64.0,4.0,0,7,19583.721190036482,29051.97909569368,91916.9849169941,True,False,19000.0,Nokia,Nokia G20,Anuradhapura,New
64.0,3.0,0,60,15386.073825503356,26796.447781263545,71138.72690290223,True,False,20000.0,Other,Redmi Note 9,Hambantota,New
64.0,4.0,0,60,15386.073825503356,11711.031529132475,103711.00702576112,False,True,8300.0,Other,Tecno Pop 5,Kandy,Used
64.0,4.0,0,21,39362.87425149832,41436.801783884606,110952.47148247254,True,False,28800.0,Xiaomi,Redmi Note 10,Kurunegala,New
128.0,6.0,0,7,69119.74921630374,37019.2366409103,103293.80948314318,False,True,26700.0,Huawei,Huawei Y7a,Jaffna,Used
64.0,4.0,1,21,69119.74921630374,89998.6629501347,124420.06610992628,False,True,69100.0,Huawei,Huawei Mate 30,Mullaitivu,Used
128.0,6.0,0,1,257365.38849646822,280262.88759545796,95823.04900181488,True,False,271100.0,Apple,iPhone 13,Colombo,New
128.0,8.0,0,21,97917.97445255474,81014.33059306446,85661.14130434782,False,True,70800.0,Samsung,Galaxy A52,Gampaha,Used
64.0,4.0,0,3,97917.97445255474,253083.3507477765,91916.9849169941,False,True,176300.0,Samsung,Galaxy S23,Anuradhapura,Used
64.0,3.0,0,30,19583.721190036482,30429.332986661073,110952.47148247254,False,True,17400.0,Nokia,Nokia 5.4,Kurunegala,Used
512.0,12.0,0,60,112310.1101226048,69642.55098361245,100507.63829246433,False,True,74700.0,Oneplus,OnePlus Nord CE,Ratnapura,Used
128.0,3.0,0,3,15386.073825503356,15921.774967089843,110952.47148247254,False,True,14400.0,Other,Infinix Hot 12,Kurunegala,Used
64.0,8.0,0,180,39362.87425149832,41436.801783884606,91916.9849169941,True,False,32000.0,Xiaomi,Redmi Note 10,Anuradhapura,New
128.0,8.0,0,3,69119.74921630374,89998.6629501347,85661.14130434782,False,True,86000.0,Huawei,Huawei Mate 30,Gampaha,Used
256.0,12.0,0,7,257365.38849646822,377823.79385442554,103711.00702576112,True,False,590800.0,Apple,iPhone 13 Pro,Kandy,New
128.0,6.0,0,7,97917.97445255474,111445.16141583124,103711.00702576112,False,True,91400.0,Samsung,Galaxy A72,Kandy,Used
512.0,6.0,0,21,15386.073825503356,11711.031529132475,103293.80948314318,False,True,15700.0,Other,Tecno Pop 5,Jaffna,Used
64.0,6.0,0,7,34074.161073877825,27440.34868471268,95823.04900181488,False,True,19700.0,Vivo,Vivo Y33s,Colombo,Used
128.0,6.0,0,0,30231.324744260754,41828.615814658624,111228.6323253798,True,False,37100.0,Motorola,Moto G62,Trincomalee,New
128.0,8.0,0,60,257365.38849646822,377823.79385442554,111717.76085735158,False,True,302100.0,Apple,iPhone 13 Pro,Unknown,Used
256.0,8.0,0,2,257365.38849646822,346991.35595038394,85661.14130434782,False,True,354400.0,Apple,iPhone 14,Gampaha,Used
128.0,4.0,1,7,97917.97445255474,48782.851526856786,83246.0201484606,False,True,42900.0,Samsung,Galaxy M32,Matara,Used
128.0,4.0,0,21,97917.97445255474,63063.303347058965,83246.0201484606,True,False,56100.0,Samsung,Galaxy A32,Matara,New
512.0,6.0,0,21,97917.97445255474,253083.3507477765,93990.62876049172,False,True,315000.0,Samsung,Galaxy S23,Kegalle,Used
128.0,8.0,0,90,97917.97445255474,195397.13717498505,103293.80948314318,False,True,167700.0,Samsung,Galaxy S22,Jaffna,Used
128.0,4.0,0,30,40497.74011299453,35090.253383405914,110952.47148247254,False,True,26800.0,Oppo,Oppo A57,Kurunegala,Used
128.0,6.0,0,21,257365.38849646822,381601.4887660484,85661.14130434782,True,False,361600.0,Apple,iPhone 15,Gampaha,New
128.0,6.0,1,0,112310.1101226048,154967.67778937303,103711.00702576112,True,False,148000.0,Oneplus,OnePlus 10 Pro,Kandy,New
64.0,8.0,0,365,30231.324744260754,26330.44096923781,71138.72690290223,False,True,14100.0,Motorola,Moto E40,Hambantota,Used
128.0,6.0,1,90,257365.38849646822,377823.79385442554,77233.95897938183,False,True,310100.0,Apple,iPhone 13 Pro,Monaragala,Used
256.0,6.0,0,365,27953.91566265252,19795.34635056526,93990.62876049172,False,True,13900.0,Realme,Realme C30,Kegalle,Used
512.0,12.0,0,7,69119.74921630374,72333.67827121622,95823.04900181488,True,False,117400.0,Huawei,Huawei Nova 5T,Colombo,New
128.0,4.0,0,3,257365.38849646822,346991.35595038394,87796.20740059376,False,True,255800.0,Apple,iPhone 14,Batticaloa,Used
256.0,6.0,0,6,257365.38849646822,427761.19738151116,103711.00702576112,True,False,588300.0,Apple,iPhone 14 Pro,Kandy,New
128.0,3.0,0,60,19583.721190036482,30429.332986661073,110952.47148247254,False,True,20100.0,Nokia,Nokia 5.4,Kurunegala,Used
128.0,6.0,1,14,39362.87425149832,40934.060610937835,95823.04900181488,True,False,52000.0,Xiaomi,Poco M4 Pro,Colombo,New
512.0,8.0,0,60,27953.91566265252,25864.696434646437,91916.9849169941,False,True,32900.0,Realme,Realme 8,Anuradhapura,Used
256.0,12.0,1,90,257365.38849646822,140339.59996967835,85661.14130434782,True,False,218700.0,Apple,iPhone XR,Gampaha,New
256.0,8.0,0,0,97917.97445255474,48782.851526856786,100507.63829246433,False,True,54300.0,Samsung,Galaxy M32,Ratnapura,Used
128.0,8.0,0,4,69119.74921630374,76593.7240697723,103293.80948314318,False,True,70600.0,Huawei,Huawei P30,Jaffna,Used
128.0,3.0,0,60,15386.073825503356,8333.520815155518,87796.20740059376,True,False,8800.0,Other,Itel A49,Batticaloa,New
128.0,4.0,0,60,97917.97445255474,63063.303347058965,91916.9849169941,True,False,52200.0,Samsung,Galaxy A32,Anuradhapura,New
256.0,6.0,0,60,40497.74011299453,37119.528191581325,91916.9849169941,False,True,33000.0,Oppo,Oppo A54,Anuradhapura,Used
128.0,6.0,0,180,40497.74011299453,43047.454393762484,100507.63829246433,True,False,36000.0,Oppo,Oppo F19,Ratnapura,New
256.0,12.0,0,180,34074.161073877825,65264.916412581406,95823.04900181488,False,True,66700.0,Vivo,Vivo V21,Colombo,Used
64.0,4.0,0,365,97917.97445255474,253083.3507477765,94554.46428776065,False,True,131000.0,Samsung,Galaxy S23,Kalutara,Used
64.0,6.0,0,365,40497.74011299453,35090.253383405914,94554.46428776065,False,True,19800.0,Oppo,Oppo A57,Kalutara,Used
128.0,6.0,0,14,257365.38849646822,346991.35595038394,111717.76085735158,False,True,282900.0,Apple,iPhone 14,Unknown,Used
128.0,4.0,0,60,257365.38849646822,377823.79385442554,91916.9849169941,True,False,311500.0,Apple,iPhone 13 Pro,Anuradhapura,New
32.0,3.0,1,90,40497.74011299453,37119.528191581325,95823.04900181488,True,False,23800.0,Oppo,Oppo A54,Colombo,New
128.0,3.0,0,3,19583.721190036482,32502.02687313935,77233.95897938183,True,False,25900.0,Nokia,Nokia G21,Monaragala,New
256.0,6.0,0,90,257365.38849646822,377823.79385442554,85661.14130434782,True,False,411900.0,Apple,iPhone 13 Pro,Gampaha,New
256.0,8.0,0,21,97917.97445255474,81014.33059306446,111228.6323253798,True,False,106100.0,Samsung,Galaxy A52,Trincomalee,New
128.0,6.0,1,7,257365.38849646822,130572.75152919091,82392.69750409125,True,False,132000.0,Apple,iPhone X,Badulla,New
64.0,3.0,0,7,15386.073825503356,13820.04196151102,101644.83202809989,True,False,13100.0,Other,Tecno Spark 8,Nuwara Eliya,New
128.0,6.0,0,21,257365.38849646822,269967.6191386011,111717.76085735158,False,True,205100.0,Apple,iPhone 12 Pro,Unknown,Used
128.0,6.0,0,14,257365.38849646822,381601.4887660484,101394.06698685887,True,False,432600.0,Apple,iPhone 15,Polonnaruwa,New
128.0,6.0,0,60,94936.78554610761,130871.36712056895,103711.00702576112,False,True,98000.0,Sony,Sony Xperia 1 III,Kandy,Used
128.0,4.0,1,2,112310.1101226048,110106.22788148513,94554.46428776065,False,True,94500.0,Oneplus,OnePlus 9,Kalutara,Used
256.0,8.0,1,14,257365.38849646822,130572.75152919091,79284.01182438398,False,True,146700.0,Apple,iPhone X,Matale,Used
128.0,6.0,0,2,97917.97445255474,111445.16141583124,85661.14130434782,False,True,91200.0,Samsung,Galaxy A72,Gampaha,Used
64.0,4.0,0,90,30231.324744260754,41828.615814658624,110952.47148247254,False,True,21900.0,Motorola,Moto G62,Kurunegala,Used
512.0,12.0,0,7,40497.74011299453,27691.00502306108,83246.0201484606,False,True,30700.0,Oppo,Oppo A16,Matara,Used
64.0,4.0,0,365,97917.97445255474,36716.2922561019,103293.80948314318,True,False,23200.0,Samsung,Galaxy A12,Jaffna,New
128.0,6.0,1,1,97917.97445255474,253083.3507477765,110952.47148247254,True,False,278700.0,Samsung,Galaxy S23,Kurunegala,New
256.0,6.0,0,30,257365.38849646822,269967.6191386011,103711.00702576112,False,True,254500.0,Apple,iPhone 12 Pro,Kandy,Used
128.0,3.0,0,0,15386.073825503356,26796.447781263545,91916.9849169941,True,False,24700.0,Other,Redmi Note 9,Anuradhapura,New
64.0,4.0,1,7,97917.97445255474,40701.562497311475,111228.6323253798,True,False,42800.0,Samsung,Galaxy A13,Trincomalee,New
128.0,8.0,1,1,39362.87425149832,31999.27625116677,87796.20740059376,False,True,28500.0,Xiaomi,Redmi 10C,Batticaloa,Used
128.0,6.0,0,14,30231.324744260754,34748.85656212868,103711.00702576112,False,True,23200.0,Motorola,Moto G30,Kandy,Used
64.0,8.0,0,14,97917.97445255474,169323.4803932598,85661.14130434782,False,True,123700.0,Samsung,Galaxy S21,Gampaha,Used
256.0,8.0,0,7,257365.38849646822,427761.19738151116,85661.14130434782,False,True,455100.0,Apple,iPhone 14 Pro,Gampaha,Used
128.0,8.0,1,3,257365.38849646822,130572.75152919091,82392.69750409125,False,True,123700.0,Apple,iPhone X,Badulla,Used
128.0,6.0,0,90,257365.38849646822,377823.79385442554,95823.04900181488,True,False,322100.0,Apple,iPhone 13 Pro,Colombo,New
128.0,8.0,1,365,69119.74921630374,72333.67827121622,85661.14130434782,False,True,55800.0,Huawei,Huawei Nova 5T,Gampaha,Used
64.0,6.0,0,21,97917.97445255474,253083.3507477765,95823.04900181488,False,True,174800.0,Samsung,Galaxy S23,Colombo,Used
64.0,6.0,0,21,257365.38849646822,377823.79385442554,101348.45814434181,True,False,309000.0,Apple,iPhone 13 Pro,Galle,New
256.0,6.0,0,30,40497.74011299453,43047.454393762484,95823.04900181488,True,False,53700.0,Oppo,Oppo F19,Colombo,New
512.0,6.0,0,365,39362.87425149832,60789.304598206174,83246.0201484606,False,True,56300.0,Xiaomi,Mi 11 Lite,Matara,Used
64.0,4.0,0,30,15386.073825503356,21572.264745749373,85661.14130434782,False,True,15200.0,Other,Redmi 12,Gampaha,Used
256.0,8.0,1,30,257365.38849646822,221074.4410842764,115991.70105414501,False,True,239900.0,Apple,iPhone 12,Mannar,Used
256.0,6.0,1,14,257365.38849646822,221074.4410842764,83246.0201484606,False,True,223400.0,Apple,iPhone 12,Matara,Used
128.0,6.0,1,365,97917.97445255474,195397.13717498505,79284.01182438398,False,True,146000.0,Samsung,Galaxy S22,Matale,Used
256.0,8.0,0,5,112310.1101226048,110106.22788148513,95823.04900181488,False,True,122800.0,Oneplus,OnePlus 9,Colombo,Used
64.0,4.0,0,60,97917.97445255474,81014.33059306446,101348.45814434181,True,False,62300.0,Samsung,Galaxy A52,Galle,New
256.0,6.0,0,60,15386.073825503356,26796.447781263545,95823.04900181488,False,True,26700.0,Other,Redmi Note 9,Colombo,Used
128.0,6.0,0,60,27953.91566265252,25864.696434646437,85661.14130434782,False,True,19900.0,Realme,Realme 8,Gampaha,Used
128.0,8.0,1,365,39362.87425149832,47890.90705801962,85661.14130434782,False,True,39700.0,Xiaomi,Poco X3,Gampaha,Used
128.0,6.0,0,180,97917.97445255474,195397.13717498505,100507.63829246433,False,True,155200.0,Samsung,Galaxy S22,Ratnapura,Used
256.0,8.0,1,7,257365.38849646822,140955.23143193364,77233.95897938183,False,True,161700.0,Apple,iPhone SE,Monaragala,Used
256.0,6.0,1,180,112310.1101226048,97091.16376285558,71138.72690290223,True,False,124900.0,Oneplus,OnePlus 9R,Hambantota,New
128.0,4.0,0,180,97917.97445255474,195397.13717498505,95823.04900181488,True,False,206500.0,Samsung,Galaxy S22,Colombo,New
32.0,4.0,1,21,69119.74921630374,95982.16308907153,103293.80948314318,False,True,64100.0,Huawei,Huawei P30 Pro,Jaffna,Used
32.0,2.0,1,14,40497.74011299453,37119.528191581325,100507.63829246433,False,True,17400.0,Oppo,Oppo A54,Ratnapura,Used
128.0,8.0,0,30,257365.38849646822,280262.88759545796,101644.83202809989,False,True,232300.0,Apple,iPhone 13,Nuwara Eliya,Used
256.0,12.0,0,30,257365.38849646822,130572.75152919091,85661.14130434782,False,True,141400.0,Apple,iPhone X,Gampaha,Used
32.0,3.0,1,14,15386.073825503356,26796.447781263545,110952.47148247254,False,True,16900.0,Other,Redmi Note 9,Kurunegala,Used
512.0,6.0,1,60,39362.87425149832,57853.598596687494,85661.14130434782,False,True,67500.0,Xiaomi,Redmi Note 12,Gampaha,Used
64.0,6.0,0,60,27953.91566265252,21961.50860801315,107774.78187801622,False,True,12800.0,Realme,Realme C25,Puttalam,Used
128.0,6.0,1,7,15386.073825503356,13820.04196151102,103711.00702576112,False,True,16900.0,Other,Tecno Spark 8,Kandy,Used
128.0,8.0,0,4,257365.38849646822,377823.79385442554,103293.80948314318,False,True,323000.0,Apple,iPhone 13 Pro,Jaffna,Used
256.0,8.0,0,60,97917.97445255474,36716.2922561019,71138.72690290223,False,True,38900.0,Samsung,Galaxy A12,Hambantota,Used
128.0,4.0,0,14,15386.073825503356,13820.04196151102,95823.04900181488,True,False,16100.0,Other,Tecno Spark 8,Colombo,New
128.0,6.0,0,30,39362.87425149832,31999.27625116677,85661.14130434782,False,True,22400.0,Xiaomi,Redmi 10C,Gampaha,Used
256.0,12.0,0,90,97917.97445255474,36716.2922561019,82392.69750409125,False,True,40400.0,Samsung,Galaxy A12,Badulla,Used
256.0,8.0,0,3,257365.38849646822,154621.87676715612,102917.33403588989,True,False,182300.0,Apple,iPhone XS Max,Kilinochchi,New
128.0,6.0,1,3,257365.38849646822,221074.4410842764,95823.04900181488,False,True,189300.0,Apple,iPhone 12,Colombo,Used
128.0,8.0,0,60,39362.87425149832,60789.304598206174,94554.46428776065,False,True,50000.0,Xiaomi,Mi 11 Lite,Kalutara,Used
128.0,8.0,1,5,27953.91566265252,19795.34635056526,83246.0201484606,False,True,16600.0,Realme,Realme C30,Matara,Used
256.0,8.0,1,180,40497.74011299453,35090.253383405914,103711.00702576112,False,True,38500.0,Oppo,Oppo A57,Kandy,Used
128.0,8.0,0,3,27953.91566265252,21961.50860801315,85661.14130434782,False,True,17300.0,Realme,Realme C25,Gampaha,Used
128.0,8.0,0,3,27953.91566265252,52346.56883936626,95823.04900181488,False,True,48300.0,Realme,Realme GT Neo 2,Colombo,Used
128.0,8.0,1,14,40497.74011299453,53522.71067862169,95823.04900181488,False,True,49900.0,Oppo,Oppo A92,Colombo,Used
128.0,8.0,0,60,27953.91566265252,19795.34635056526,124420.06610992628,True,False,16300.0,Realme,Realme C30,Mullaitivu,New
128.0,4.0,0,1,97917.97445255474,54188.93971904517,93990.62876049172,True,False,59600.0,Samsung,Galaxy A23,Kegalle,New
128.0,4.0,0,21,257365.38849646822,269967.6191386011,79284.01182438398,True,False,276100.0,Apple,iPhone 12 Pro,Matale,New
128.0,6.0,0,30,257365.38849646822,130572.75152919091,82392.69750409125,False,True,102100.0,Apple,iPhone X,Badulla,Used
128.0,8.0,1,90,40497.74011299453,42694.96437108665,110952.47148247254,False,True,42500.0,Oppo,Oppo A74,Kurunegala,Used
64.0,4.0,0,180,34074.161073877825,40875.88097580751,95823.04900181488,False,True,23000.0,Vivo,Vivo Y75,Colombo,Used
128.0,6.0,0,1,15386.073825503356,26796.447781263545,95823.04900181488,True,False,27100.0,Other,Redmi Note 9,Colombo,New
64.0,8.0,1,14,97917.97445255474,40701.562497311475,85661.14130434782,False,True,34600.0,Samsung,Galaxy A13,Gampaha,Used
128.0,6.0,0,2,69119.74921630374,49548.710433680935,85661.14130434782,False,True,42800.0,Huawei,Huawei P40 Lite,Gampaha,Used
512.0,12.0,1,4,40497.74011299453,42694.96437108665,103293.80948314318,True,False,82500.0,Oppo,Oppo A74,Jaffna,New
128.0,8.0,0,14,257365.38849646822,130572.75152919091,94554.46428776065,False,True,108700.0,Apple,iPhone X,Kalutara,Used
128.0,8.0,0,90,257365.38849646822,377823.79385442554,101348.45814434181,True,False,375500.0,Apple,iPhone 13 Pro,Galle,New
256.0,12.0,0,4,39362.87425149832,40934.060610937835,110952.47148247254,False,True,47000.0,Xiaomi,Poco M4 Pro,Kurunegala,Used
64.0,6.0,0,14,15386.073825503356,21572.264745749373,124420.06610992628,True,False,19300.0,Other,Redmi 12,Mullaitivu,New
128.0,6.0,0,0,69119.74921630374,37019.2366409103,94554.46428776065,False,True,28200.0,Huawei,Huawei Y7a,Kalutara,Used
128.0,4.0,0,3,19583.721190036482,19288.194779797588,100507.63829246433,False,True,14100.0,Nokia,Nokia G10,Ratnapura,Used
128.0,4.0,0,21,15386.073825503356,8333.520815155518,110952.47148247254,False,True,8100.0,Other,Itel A49,Kurunegala,Used
256.0,12.0,0,21,257365.38849646822,427761.19738151116,95823.04900181488,True,False,557100.0,Apple,iPhone 14 Pro,Colombo,New
128.0,4.0,0,90,15386.073825503356,15921.774967089843,100507.63829246433,False,True,15600.0,Other,Infinix Hot 12,Ratnapura,Used
128.0,4.0,0,14,257365.38849646822,381601.4887660484,83246.0201484606,False,True,293100.0,Apple,iPhone 15,Matara,Used
256.0,12.0,0,7,69119.74921630374,72333.67827121622,95823.04900181488,False,True,80000.0,Huawei,Huawei Nova 5T,Colombo,Used
128.0,6.0,0,60,97917.97445255474,81014.33059306446,101394.06698685887,False,True,65800.0,Samsung,Galaxy A52,Polonnaruwa,Used
128.0,3.0,0,365,19583.721190036482,30429.332986661073,85661.14130434782,False,True,16400.0,Nokia,Nokia 5.4,Gampaha,Used
128.0,6.0,1,7,97917.97445255474,48782.851526856786,103293.80948314318,False,True,46000.0,Samsung,Galaxy M32,Jaffna,Used
128.0,8.0,1,7,40497.74011299453,27691.00502306108,87796.20740059376,True,False,26500.0,Oppo,Oppo A16,Batticaloa,New
256.0,12.0,1,30,97917.97445255474,253083.3507477765,85661.14130434782,False,True,328500.0,Samsung,Galaxy S23,Gampaha,Used
128.0,6.0,0,60,97917.97445255474,63063.303347058965,101348.45814434181,False,True,51600.0,Samsung,Galaxy A32,Galle,Used
128.0,4.0,1,60,27953.91566265252,25864.696434646437,95823.04900181488,True,False,30100.0,Realme,Realme 8,Colombo,New
