title,brand,model,storage_raw,ram_raw,condition,warranty,district,posted_date,price_raw
Apple iPhone 11 256GB,Apple,iPhone 11,256GB,8GB RAM,New,No,Matale,4 days ago,"Rs. 494,700"
Oppo Oppo A92 256GB (Warranty),Oppo,Oppo A92,256GB,8GB RAM,Used,Yes,Trincomalee,1 week ago,"Rs. 69,200"
Samsung Galaxy A23 128GB,Samsung,Galaxy A23,128GB,3GB RAM,Used,No,Kandy,2 weeks ago,"Rs. 237,800"
Apple iPhone X 512GB,Apple,iPhone X,512GB,6GB RAM,Like New,No,Kandy,2 weeks ago,"Rs. 514,500"
Samsung Galaxy A53 256GB,Samsung,Galaxy A53,256GB,6GB RAM,Like New,No,Kandy,"Jan 23, 2026","Rs. 193,900"
Apple iPhone 13 128GB,Apple,iPhone 13,128GB,4GB RAM,Used,No,Hambantota,"Jan 23, 2026","Rs. 252,200"
Apple iPhone 13 256GB,Apple,iPhone 13,256GB,8GB RAM,Like New,No,Badulla,3 weeks ago,"Rs. 526,400"
Oppo Oppo A92 128GB,Oppo,Oppo A92,128GB,4GB RAM,Used,No,Unknown,"Jan 23, 2026","Rs. 51,400"
Huawei Huawei Y7a 64GB,Huawei,Huawei Y7a,64GB,3GB RAM,Used,No,Galle,"Nov 24, 2025","Rs. 46,000"
Vivo Vivo Y75 128GB,Vivo,Vivo Y75,128GB,8GB RAM,Like New,No,Gampaha,1 week ago,"Rs. 112,100"
Apple iPhone 11 512GB,Apple,iPhone 11,512GB,8GB RAM,Used,No,Polonnaruwa,3 weeks ago,"Rs. 433,100"
Huawei Huawei P30 Pro 256GB,Huawei,Huawei P30 Pro,256GB,6GB RAM,Like New,No,Colombo,3 weeks ago,"Rs. 165,000"
Oppo Oppo A74 64GB (Warranty),Oppo,Oppo A74,64GB,4GB RAM,Used,Yes,Colombo,"Nov 24, 2025","Rs. 71,000"
Xiaomi Redmi 12C 256GB,Xiaomi,Redmi 12C,256GB,6GB RAM,Used,No,Kurunegala,Yesterday,"Rs. 145,100"
Apple iPhone 13 256GB,Apple,iPhone 13,256GB,6GB RAM,Used,No,Kurunegala,3 days ago,"Rs. 234,600"
Apple iPhone 13 Pro 256GB,Apple,iPhone 13 Pro,256GB,12GB RAM,Used,No,Kegalle,"Nov 24, 2025","Rs. 306,000"
Oppo Oppo A74 128GB (Warranty),Oppo,Oppo A74,128GB,4GB RAM,Used,Yes,Ampara,Yesterday,"Rs. 35,600"
Xiaomi Poco M4 Pro 128GB,Xiaomi,Poco M4 Pro,128GB,4GB RAM,Used,No,Gampaha,3 weeks ago,"Rs. 76,100"
Redmi Redmi 9C 128GB,Redmi,Redmi 9C,128GB,6GB RAM,Used,No,Anuradhapura,"Nov 24, 2025","Rs. 64,100"
Realme Realme Narzo 50 32GB,Realme,Realme Narzo 50,32GB,3GB RAM,Used,No,Kegalle,4 days ago,"Rs. 44,500"
Redmi Redmi 9C 256GB,Redmi,Redmi 9C,256GB,8GB RAM,Used,No,Colombo,3 days ago,"Rs. 48,900"
Samsung Galaxy A23 32GB,Samsung,Galaxy A23,32GB,2GB RAM,Used,No,Trincomalee,"Aug 26, 2025","Rs. 167,800"
Apple iPhone X 128GB,Apple,iPhone X,128GB,3GB RAM,Used,No,Kandy,2 weeks ago,"Rs. 89,300"
Samsung Galaxy M32 128GB (Warranty),Samsung,Galaxy M32,128GB,3GB RAM,Used,Yes,Matara,1 week ago,"Rs. 33,900"
Samsung Galaxy A53 512GB,Samsung,Galaxy A53,512GB,16GB RAM,Used,No,Puttalam,3 weeks ago,"Rs. 253,900"
Nokia Nokia 3.4 64GB (Warranty),Nokia,Nokia 3.4,64GB,4GB RAM,Used,Yes,Galle,"Aug 26, 2025","Rs. 44,200"
Samsung Galaxy S22 128GB,Samsung,Galaxy S22,128GB,6GB RAM,Used,No,Jaffna,"Nov 24, 2025","Rs. 160,900"
Huawei Huawei Nova 5T 64GB,Huawei,Huawei Nova 5T,64GB,4GB RAM,Used,No,Gampaha,4 days ago,"Rs. 113,700"
Xiaomi Poco X3 256GB,Xiaomi,Poco X3,256GB,8GB RAM,Used,No,Kegalle,2 weeks ago,"Rs. 159,000"
Apple iPhone 11 64GB,Apple,iPhone 11,64GB,8GB RAM,Used,No,Puttalam,2 days ago,"Rs. 343,300"
Apple iPhone 12 Pro 128GB,Apple,iPhone 12 Pro,128GB,6GB RAM,Used,No,Mannar,1 week ago,"Rs. 301,300"
Nokia Nokia G10 64GB (Warranty),Nokia,Nokia G10,64GB,4GB RAM,Like New,Yes,Hambantota,Today,"Rs. 14,800"
Redmi Redmi Note 9 512GB,Redmi,Redmi Note 9,512GB,12GB RAM,Used,No,Badulla,"Aug 26, 2025","Rs. 54,200"
Apple iPhone 11 128GB,Apple,iPhone 11,128GB,4GB RAM,Used,No,Kurunegala,"Nov 24, 2025","Rs. 113,800"
Apple iPhone 14 Pro 256GB,Apple,iPhone 14 Pro,256GB,6GB RAM,New,No,Kandy,6 days ago,"Rs. 302,900"
Motorola Moto G60 32GB,Motorola,Moto G60,32GB,4GB RAM,New,No,Mannar,"Dec 24, 2025","Rs. 51,300"
Samsung Galaxy S22 256GB,Samsung,Galaxy S22,256GB,6GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 37,100"
Apple iPhone XS Max 256GB (Warranty),Apple,iPhone XS Max,256GB,16GB RAM,New,Yes,Puttalam,"Aug 26, 2025","Rs. 586,900"
Samsung Galaxy S21 64GB (Warranty),Samsung,Galaxy S21,64GB,3GB RAM,Used,Yes,Trincomalee,"Dec 24, 2025","Rs. 61,500"
Apple iPhone SE 64GB (Warranty),Apple,iPhone SE,64GB,4GB RAM,Used,Yes,Gampaha,2 weeks ago,"Rs. 145,700"
Realme Realme C25 128GB,Realme,Realme C25,128GB,8GB RAM,Like New,No,Ampara,3 weeks ago,"Rs. 94,900"
Apple iPhone 12 64GB (Warranty),Apple,iPhone 12,64GB,8GB RAM,Like New,Yes,Mullaitivu,"Feb 22, 2025","Rs. 369,000"
Samsung Galaxy S22 32GB,Samsung,Galaxy S22,32GB,3GB RAM,Used,No,Anuradhapura,"Jan 23, 2026","Rs. 190,200"
Samsung Galaxy A12 128GB,Samsung,Galaxy A12,128GB,8GB RAM,Used,No,Badulla,"Dec 24, 2025","Rs. 145,200"
Oppo Oppo A57 128GB,Oppo,Oppo A57,128GB,3GB RAM,New,No,Kandy,2 days ago,"Rs. 157,500"
Oppo Oppo A57 128GB (Warranty),Oppo,Oppo A57,128GB,4GB RAM,Used,Yes,Hambantota,"Dec 24, 2025","Rs. 104,700"
Redmi Redmi Note 9 32GB (Warranty),Redmi,Redmi Note 9,32GB,2GB RAM,Used,Yes,Monaragala,2 days ago,"Rs. 49,900"
Samsung Galaxy S22 64GB (Warranty),Samsung,Galaxy S22,64GB,8GB RAM,New,Yes,Colombo,5 days ago,"Rs. 286,500"
Other Tecno Pop 5 64GB,Other,Tecno Pop 5,64GB,4GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 16,800"
Samsung Galaxy A52 256GB (Warranty),Samsung,Galaxy A52,256GB,8GB RAM,Used,Yes,Unknown,3 weeks ago,"Rs. 305,100"
Apple iPhone 11 64GB,Apple,iPhone 11,64GB,4GB RAM,Like New,No,Colombo,6 days ago,"Rs. 137,000"
Apple iPhone SE 256GB,Apple,iPhone SE,256GB,8GB RAM,Used,No,Matale,Today,"Rs. 395,900"
Nokia Nokia G10 64GB (Warranty),Nokia,Nokia G10,64GB,6GB RAM,Used,Yes,Puttalam,2 weeks ago,"Rs. 14,200"
Motorola Moto G62 128GB,Motorola,Moto G62,128GB,3GB RAM,Used,No,Galle,1 week ago,"Rs. 68,400"
Xiaomi Redmi 12C 128GB,Xiaomi,Redmi 12C,128GB,4GB RAM,Like New,No,Badulla,"Aug 26, 2025","Rs. 104,800"
Motorola Moto E40 64GB,Motorola,Moto E40,64GB,4GB RAM,Used,No,Kandy,"Dec 24, 2025","Rs. 31,000"
Apple iPhone SE 64GB,Apple,iPhone SE,64GB,6GB RAM,Used,No,Jaffna,"Nov 24, 2025","Rs. 224,400"
Samsung Galaxy A32 128GB,Samsung,Galaxy A32,128GB,6GB RAM,New,No,Kegalle,Today,"Rs. 152,800"
Samsung Galaxy A32 128GB,Samsung,Galaxy A32,128GB,4GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 115,200"
Realme Realme Narzo 50 256GB,Realme,Realme Narzo 50,256GB,12GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 71,400"
Samsung Galaxy A52 64GB,Samsung,Galaxy A52,64GB,6GB RAM,New,No,Colombo,3 days ago,"Rs. 297,900"
Other Tecno Pop 5 64GB,Other,Tecno Pop 5,64GB,4GB RAM,Used,No,Kalutara,"Dec 24, 2025","Rs. 41,500"
Xiaomi Redmi Note 11 256GB,Xiaomi,Redmi Note 11,256GB,6GB RAM,Like New,No,Colombo,2 weeks ago,"Rs. 97,200"
Samsung Galaxy A23 64GB,Samsung,Galaxy A23,64GB,4GB RAM,Used,No,Kandy,"Dec 24, 2025","Rs. 33,600"
Samsung Galaxy A13 64GB (Warranty),Samsung,Galaxy A13,64GB,4GB RAM,New,Yes,Trincomalee,1 week ago,"Rs. 82,800"
Apple iPhone X 256GB (Warranty),Apple,iPhone X,256GB,8GB RAM,Like New,Yes,Colombo,"Aug 26, 2025","Rs. 130,200"
Apple iPhone 12 256GB (Warranty),Apple,iPhone 12,256GB,8GB RAM,Used,Yes,Kalutara,2 days ago,"Rs. 96,100"
Redmi Redmi Note 9 32GB,Redmi,Redmi Note 9,32GB,4GB RAM,Used,No,Galle,2 weeks ago,"Rs. 33,900"
Samsung Galaxy S21 256GB,Samsung,Galaxy S21,256GB,6GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 132,300"
Apple iPhone 12 64GB (Warranty),Apple,iPhone 12,64GB,3GB RAM,Used,Yes,Badulla,4 days ago,"Rs. 321,100"
Xiaomi Redmi 12C 128GB (Warranty),Xiaomi,Redmi 12C,128GB,6GB RAM,Used,Yes,Gampaha,"Feb 22, 2025","Rs. 48,800"
Redmi Redmi Note 9 128GB,Redmi,Redmi Note 9,128GB,4GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 37,100"
Oppo Oppo F19 32GB,Oppo,Oppo F19,32GB,3GB RAM,Used,No,Kilinochchi,"Dec 24, 2025","Rs. 18,500"
Apple iPhone XR 128GB,Apple,iPhone XR,128GB,3GB RAM,Used,No,Nuwara Eliya,1 week ago,"Rs. 301,200"
Xiaomi Redmi 10C 32GB,Xiaomi,Redmi 10C,32GB,3GB RAM,New,No,Ratnapura,2 weeks ago,"Rs. 149,000"
Oppo Oppo A54 128GB,Oppo,Oppo A54,128GB,6GB RAM,Used,No,Anuradhapura,1 week ago,"Rs. 92,700"
Oppo Oppo A16 256GB,Oppo,Oppo A16,256GB,8GB RAM,Used,No,Gampaha,"Feb 22, 2025","Rs. 73,700"
Oneplus OnePlus Nord CE 256GB,Oneplus,OnePlus Nord CE,256GB,8GB RAM,Used,No,Matara,"Feb 22, 2025","Rs. 224,900"
Sony Sony Xperia 10 128GB,Sony,Sony Xperia 10,128GB,4GB RAM,Used,No,Colombo,5 days ago,"Rs. 170,400"
Apple iPhone 12 128GB,Apple,iPhone 12,128GB,6GB RAM,Used,No,Jaffna,3 weeks ago,"Rs. 307,700"
Motorola Moto G60 128GB,Motorola,Moto G60,128GB,3GB RAM,Used,No,Ratnapura,"Aug 26, 2025","Rs. 53,600"
Vivo Vivo Y53s 128GB,Vivo,Vivo Y53s,128GB,6GB RAM,Like New,No,Gampaha,"Feb 22, 2025","Rs. 93,600"
Motorola Moto G60 64GB,Motorola,Moto G60,64GB,8GB RAM,New,No,Gampaha,2 weeks ago,"Rs. 72,800"
Realme Realme 9 256GB,Realme,Realme 9,256GB,6GB RAM,Used,No,Vavuniya,"Dec 24, 2025","Rs. 53,000"
Apple iPhone 12 256GB,Apple,iPhone 12,256GB,6GB RAM,New,No,Kandy,"Aug 26, 2025","Rs. 225,300"
Apple iPhone 11 128GB,Apple,iPhone 11,128GB,4GB RAM,Used,No,Gampaha,1 week ago,"Rs. 109,400"
Vivo Vivo Y33s 128GB (Warranty),Vivo,Vivo Y33s,128GB,3GB RAM,Used,Yes,Matara,3 days ago,"Rs. 81,500"
Apple iPhone 13 Pro 128GB,Apple,iPhone 13 Pro,128GB,3GB RAM,New,No,Kandy,"Nov 24, 2025","Rs. 224,800"
Apple iPhone 13 128GB,Apple,iPhone 13,128GB,6GB RAM,Used,No,Nuwara Eliya,"Jan 23, 2026","Rs. 77,900"
Apple iPhone 14 Pro 64GB,Apple,iPhone 14 Pro,64GB,4GB RAM,Used,No,Anuradhapura,3 weeks ago,"Rs. 178,100"
Oneplus OnePlus 9 128GB (Warranty),Oneplus,OnePlus 9,128GB,4GB RAM,Used,Yes,Gampaha,Today,"Rs. 196,700"
Redmi Redmi 12 128GB,Redmi,Redmi 12,128GB,4GB RAM,Used,No,Ampara,4 days ago,"Rs. 80,300"
Huawei Huawei Mate 30 128GB (Warranty),Huawei,Huawei Mate 30,128GB,3GB RAM,Used,Yes,Matale,Today,"Rs. 60,800"
Samsung Galaxy A72 128GB,Samsung,Galaxy A72,128GB,8GB RAM,Used,No,Jaffna,4 days ago,"Rs. 110,300"
Realme Realme GT Neo 2 64GB (Warranty),Realme,Realme GT Neo 2,64GB,3GB RAM,Used,Yes,Jaffna,"Aug 26, 2025","Rs. 37,900"
Xiaomi Poco M4 Pro 128GB,Xiaomi,Poco M4 Pro,128GB,6GB RAM,Used,No,Ampara,"Jan 23, 2026","Rs. 57,500"
Apple iPhone XS Max 128GB,Apple,iPhone XS Max,128GB,4GB RAM,Like New,No,Kandy,2 weeks ago,"Rs. 445,200"
Huawei Huawei Mate 30 512GB,Huawei,Huawei Mate 30,512GB,16GB RAM,Used,No,Gampaha,"Nov 24, 2025","Rs. 158,400"
Oneplus OnePlus 9R 256GB,Oneplus,OnePlus 9R,256GB,8GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 120,600"
Apple iPhone SE 256GB,Apple,iPhone SE,256GB,8GB RAM,Like New,No,Galle,2 weeks ago,"Rs. 438,400"
Samsung Galaxy A32 32GB (Warranty),Samsung,Galaxy A32,32GB,2GB RAM,Used,Yes,Colombo,"Nov 24, 2025","Rs. 167,800"
Oppo Oppo Reno 5 64GB,Oppo,Oppo Reno 5,64GB,3GB RAM,Used,No,Matara,"Feb 22, 2025","Rs. 73,100"
Oneplus OnePlus Nord CE 256GB,Oneplus,OnePlus Nord CE,256GB,12GB RAM,Used,No,Gampaha,3 days ago,"Rs. 203,100"
Samsung Galaxy A53 64GB (Warranty),Samsung,Galaxy A53,64GB,4GB RAM,Used,Yes,Colombo,"Jan 23, 2026","Rs. 113,300"
Realme Realme Narzo 50 64GB,Realme,Realme Narzo 50,64GB,6GB RAM,Used,No,Matara,3 weeks ago,"Rs. 37,300"
Apple iPhone 14 256GB,Apple,iPhone 14,256GB,8GB RAM,Used,No,Hambantota,"Nov 24, 2025","Rs. 331,400"
Apple iPhone 12 Pro 128GB,Apple,iPhone 12 Pro,128GB,8GB RAM,Used,No,Colombo,3 days ago,"Rs. 191,300"
Oneplus OnePlus Nord CE 256GB,Oneplus,OnePlus Nord CE,256GB,6GB RAM,Used,No,Colombo,1 week ago,"Rs. 150,300"
Xiaomi Redmi 10C 128GB,Xiaomi,Redmi 10C,128GB,4GB RAM,Used,No,Nuwara Eliya,1 week ago,"Rs. 142,100"
Apple iPhone XS Max 256GB,Apple,iPhone XS Max,256GB,6GB RAM,Used,No,Ratnapura,Today,"Rs. 435,400"
Xiaomi Poco M4 Pro 128GB,Xiaomi,Poco M4 Pro,128GB,6GB RAM,Used,No,Colombo,Yesterday,"Rs. 71,100"
Redmi Redmi Note 9 256GB,Redmi,Redmi Note 9,256GB,8GB RAM,New,No,Kalutara,"Nov 24, 2025","Rs. 91,700"
Apple iPhone 13 128GB,Apple,iPhone 13,128GB,4GB RAM,Used,No,Gampaha,2 weeks ago,"Rs. 283,900"
Apple iPhone 14 256GB,Apple,iPhone 14,256GB,12GB RAM,Used,No,Unknown,3 weeks ago,"Rs. 479,200"
Xiaomi Redmi Note 11 256GB,Xiaomi,Redmi Note 11,256GB,8GB RAM,New,No,Gampaha,Today,"Rs. 144,700"
Huawei Huawei P40 Lite 32GB,Huawei,Huawei P40 Lite,32GB,2GB RAM,Used,No,Gampaha,2 weeks ago,"Rs. 22,600"
Apple iPhone X 128GB,Apple,iPhone X,128GB,4GB RAM,Used,No,Trincomalee,1 week ago,"Rs. 408,100"
Other Tecno Spark 8 32GB,Other,Tecno Spark 8,32GB,4GB RAM,Used,No,Colombo,"Jan 23, 2026","Rs. 22,100"
Apple iPhone 11 64GB,Apple,iPhone 11,64GB,4GB RAM,Used,No,Ratnapura,3 weeks ago,"Rs. 164,800"
Other Itel A49 64GB,Other,Itel A49,64GB,4GB RAM,Used,No,Kurunegala,3 weeks ago,"Rs. 8,900"
Samsung Galaxy A32 512GB (Warranty),Samsung,Galaxy A32,512GB,8GB RAM,Like New,Yes,Anuradhapura,Today,"Rs. 277,400"
Realme Realme Narzo 50 64GB,Realme,Realme Narzo 50,64GB,3GB RAM,Used,No,Jaffna,"Nov 24, 2025","Rs. 33,900"
Realme Realme 9 32GB,Realme,Realme 9,32GB,4GB RAM,Used,No,Gampaha,3 days ago,"Rs. 47,300"
Sony Sony Xperia 5 III 256GB,Sony,Sony Xperia 5 III,256GB,12GB RAM,Used,No,Unknown,3 weeks ago,"Rs. 102,300"
Oneplus OnePlus 10 Pro 512GB (Warranty),Oneplus,OnePlus 10 Pro,512GB,8GB RAM,Used,Yes,Jaffna,"Dec 24, 2025","Rs. 216,800"
Samsung Galaxy A23 64GB (Warranty),Samsung,Galaxy A23,64GB,8GB RAM,New,Yes,Matara,"Dec 24, 2025","Rs. 226,700"
Huawei Huawei P40 Lite 256GB,Huawei,Huawei P40 Lite,256GB,12GB RAM,Used,No,Anuradhapura,2 weeks ago,"Rs. 223,000"
Realme Realme C25 32GB (Warranty),Realme,Realme C25,32GB,4GB RAM,Used,Yes,Badulla,"Dec 24, 2025","Rs. 22,100"
Realme Realme C25 256GB,Realme,Realme C25,256GB,8GB RAM,Used,No,Kurunegala,6 days ago,"Rs. 64,000"
Apple iPhone 14 Pro 128GB,Apple,iPhone 14 Pro,128GB,4GB RAM,Used,No,Mannar,"Feb 22, 2025","Rs. 103,600"
Oppo Oppo Reno 5 128GB,Oppo,Oppo Reno 5,128GB,3GB RAM,New,No,Badulla,"Aug 26, 2025","Rs. 34,800"
Vivo Vivo Y20 256GB,Vivo,Vivo Y20,256GB,6GB RAM,Like New,No,Kegalle,"Feb 22, 2025","Rs. 60,100"
Xiaomi Poco M4 Pro 256GB,Xiaomi,Poco M4 Pro,256GB,6GB RAM,Used,No,Unknown,1 week ago,"Rs. 145,100"
Oneplus OnePlus 10 Pro 128GB (Warranty),Oneplus,OnePlus 10 Pro,128GB,6GB RAM,Used,Yes,Badulla,"Dec 24, 2025","Rs. 42,300"
Samsung Galaxy A72 128GB (Warranty),Samsung,Galaxy A72,128GB,6GB RAM,Used,Yes,Nuwara Eliya,"Nov 24, 2025","Rs. 177,000"
Apple iPhone 12 Pro 128GB,Apple,iPhone 12 Pro,128GB,8GB RAM,Used,No,Kandy,1 week ago,"Rs. 203,200"
Redmi Redmi 12 32GB,Redmi,Redmi 12,32GB,3GB RAM,Used,No,Colombo,1 week ago,"Rs. 33,000"
